6044;0
36314;1
41932;0
3194;0
35363;0
35405;0
39917;0
39868;0
52322;0
3022;1
41254;0
66166;1
49257;0
64607;1
41147;0
20995;0
36793;0
16189;0
2372;0
4917;0
376;0
8920;0
23324;0
42134;0
2120;1
3110;0
60380;0
65520;1
64089;0
53485;0
63544;0
33433;1
58121;0
30635;0
34521;0
17327;0
57394;1
32194;0
19533;0
6641;0
43515;1
40701;0
23851;0
31087;0
51743;0
38293;0
2178;0
12392;0
45047;0
54675;0
12838;0
16675;0
28388;0
6304;0
4526;0
16160;0
33871;0
26714;0
34297;1
36460;0
49751;0
66142;1
65248;1
4699;1
267;0
41343;0
22165;0
27347;0
18255;0
11972;0
42793;0
56651;0
831;1
31942;0
33189;0
50942;0
61410;0
16889;0
42702;0
66052;0
58651;0
44921;1
27699;0
53852;0
41491;0
18399;1
20378;0
13224;0
26328;0
62484;0
22346;1
66195;1
4372;0
13077;0
60638;0
651;0
54633;1
17252;1
62874;0
44399;0
55764;0
50751;0
23850;1
23422;0
35224;0
33680;0
63331;0
7362;0
22829;0
41021;1
12151;0
35487;0
10131;0
37017;0
7135;0
18945;0
6048;0
10383;0
21720;1
23335;1
22955;0
43876;0
28684;1
53163;0
59850;0
44387;0
9684;0
31353;0
15098;1
48672;0
61340;0
8982;0
50282;0
32389;0
33000;1
54074;1
29855;0
45406;1
1831;1
64940;1
8544;0
64426;0
10809;1
17274;1
64296;0
51287;1
53087;1
29778;0
36472;0
1798;0
3053;0
2102;0
63231;0
43963;1
61439;0
13287;0
51292;0
35338;0
15792;0
16231;0
53563;0
3293;0
22162;1
49467;0
22895;0
9404;0
2027;0
5529;0
63852;0
15578;0
60145;0
34567;0
60040;0
58203;0
20953;0
28552;0
1542;0
14146;0
42394;0
18765;0
37608;0
7965;0
45339;0
6636;0
43516;1
47850;0
65637;0
13947;0
60981;1
2932;1
21712;1
42323;0
29537;0
60240;0
28723;0
2084;1
15736;0
33075;0
59311;0
32563;1
11849;0
36021;1
874;0
1044;0
26734;0
38260;0
25231;0
29415;0
56723;0
8447;0
20505;0
19656;0
9223;0
5110;0
1554;0
25408;0
60031;0
49142;0
53787;0
64454;1
16236;0
18152;0
52171;0
20084;1
27588;0
8164;0
58956;0
39755;0
15089;0
34647;0
10460;0
8642;0
1562;0
55418;0
25384;1
53519;0
31066;0
50647;0
1160;0
43699;0
39091;0
54858;0
52592;0
22313;0
34502;1
20355;0
24441;1
2774;0
16143;0
18760;1
43193;0
12689;0
3335;0
10921;0
20895;0
13978;0
13958;0
20507;0
62092;1
13799;0
28200;0
54487;0
24793;0
52181;0
63129;0
22054;0
49655;0
9976;0
2931;0
54167;1
61868;1
18139;1
29476;0
37434;0
5155;1
56265;0
8924;0
52469;0
53274;0
24782;0
51803;0
35164;0
50786;0
880;0
24592;0
30932;0
16024;0
43505;0
47605;0
38467;1
9410;1
63827;0
54869;0
24674;0
2453;1
39562;0
9085;0
62329;0
33220;0
50052;1
51491;0
6104;0
54954;0
